index;code;country;gamma;GDPSH60;LIFEE060;P60; safrica ; laam; bmp1 ; BMS6087; GDC6089; STDC6089; PI6089; STPI6089; SCOUT; area ; freeop; freetar; dpop6090; pyr60; syr60; hyr60; human60; s60; h60 ; YrsOpen; ggcfd3; gvxdxe52; geerec1; gde1; assassp2; revcoup; pinstab2; wardum; prightsb; civlibb; ABSLATIT; FRAC; DEMOC65; PRIEXP70; RULELAW; URB60; RERD; EQINV; NONEQINV; humanyl ; tot1; work60l; lly1; BRIT; FRENCH; SPAIN; BUDDHA; CATH; CONFUC; HINDU; JEW; MUSLIM; PROT; lforce60; Mining; EcOrg; OthFrac; EngFrac
1;DZA;Algeria;0,01;7,44;47,30;0,46;0,00;0,00;0,13;186,56;21,07;13,30;8,06;10,18;1,00;2382,00;0,22;0,03;0,03;0,74;0,10;0,01;0,85;0,08;0,00;0,00;0,23;0,06;0,03;0,03;0,00;0,12;0,17;0,00;5,83;5,89;36,72;0,43;0,27;0,93;0,33;0,30;190,00;0,05;0,19;6,32;-0,01;-1,33;;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,99;0,00;2855,52;0,20;0,00;0,84;0,00
2;AGO;Angola;0,00;6,79;;0,21;1,00;0,00;0,28;239,61;;;9,46;10,53;0,00;1247,00;0,15;0,01;0,02;;;;;0,02;0,00;0,00;;;;;;0,70;;1,00;6,72;6,61;8,84;0,78;0,12;;0,33;0,10;172,00;0,01;0,05;;-0,01;-0,73;;0,00;0,00;0,00;0,00;0,38;0,00;0,00;0,00;0,00;0,15;2319,39;0,27;0,00;0,00;0,00
3;BEN;Benin;-0,01;7,02;38,90;0,27;1,00;0,00;0,05;4,49;;;6,35;4,86;0,00;113,00;0,22;0,05;0,02;;0,07;0,01;;0,02;0,00;0,11;0,02;0,20;0,02;0,02;;0,10;;0,00;7,00;6,39;6,36;0,62;0,25;0,90;;0,09;126,00;0,01;0,10;;0,02;-0,49;;0,00;1,00;0,00;0,00;0,07;0,00;0,00;0,00;0,15;0,08;1372,62;0,01;0,00;0,00;0,00
4;BWA;Botswana;0,06;6,28;45,70;0,42;1,00;0,00;0,07;23,39;;;7,86;8,21;0,00;582,00;;;0,03;1,17;0,09;0,01;1,27;0,01;0,00;0,36;0,08;;0,03;;0,00;0,00;0,00;0,00;2,06;3,00;21,54;0,51;;0,75;0,83;0,02;131,00;0,13;0,15;7,99;;-0,82;;1,00;0,00;0,00;0,00;0,25;0,00;0,00;0,00;0,00;0,25;210,92;0,53;5,00;0,00;0,00
5;HVO;Burkina Faso;0,00;6,15;36,30;0,08;1,00;0,00;0,05;4,49;;;4,93;5,60;0,00;274,00;;;0,02;;;;;0,01;;0,00;0,10;0,05;0,02;0,02;0,00;0,41;0,10;0,00;5,50;4,89;12,05;0,68;0,07;0,96;0,50;0,05;130,00;;;;0,07;;;0,00;1,00;0,00;0,00;0,10;0,00;0,00;0,00;0,25;0,00;;0,00;1,00;0,00;0,00
6;BDI;Burundi;0,00;6,38;41,80;0,18;1,00;0,00;0,00;20,79;24,13;40,70;5,80;9,46;0,00;28,00;0,25;0,05;0,02;;;;;0,01;0,00;0,00;0,03;0,05;0,02;0,01;0,00;0,39;0,17;1,00;6,83;6,17;3,37;0,04;0,58;0,98;;0,02;167,00;0,01;0,04;;;-0,51;;0,00;0,00;0,00;0,00;0,62;0,00;0,00;0,00;0,01;0,05;1776,17;0,01;4,00;0,00;0,00
7;CMR;Cameroon;0,01;6,55;43,40;0,65;1,00;0,00;0,05;4,47;17,44;13,58;7,12;5,84;1,00;475,00;0,20;0,05;0,03;;0,30;0,01;;0,02;0,00;0,16;0,04;0,12;0,02;0,02;0,00;0,08;0,00;0,00;6,06;5,56;10,73;0,89;0,56;0,92;0,50;0,14;187,00;0,00;0,13;;-0,04;-0,72;0,13;0,00;1,00;0,00;0,00;0,16;0,00;0,00;0,00;0,16;0,17;2587,05;0,09;5,00;0,01;0,00
8;CPV;Cape verde;0,03;6,19;;;1,00;0,00;;;;;;;;;;;0,02;;;;;;;0,13;;;;;;;;;5,61;5,94;15,09;;;0,88;;;;;;;;-1,06;;0,00;0,00;0,00;;;;;;;;67,66;0,01;1,00;0,70;0,00
9;CAF;Cent'l Afr Rep;-0,01;6,49;39,30;0,32;1,00;0,00;0,05;4,48;11,12;14,81;7,64;7,00;0,00;623,00;0,19;0,04;0,02;;0,11;0,01;;0,01;0,00;0,00;0,06;0,27;0,02;0,01;0,00;0,39;0,20;0,00;6,83;6,22;4,33;0,83;0,34;0,56;;0,23;156,00;;;;-0,02;-0,50;;0,00;1,00;0,00;0,00;0,25;0,00;0,00;0,00;0,15;0,25;926,08;0,03;3,00;0,00;0,00
10;TCD;Chad;-0,02;6,50;34,90;0,17;1,00;0,00;0,05;4,48;12,68;19,10;5,68;9,14;0,00;1284,00;;;0,02;;;;;;0,00;0,00;;0,25;0,01;0,01;0,00;0,67;0,10;1,00;6,56;6,50;10,38;0,69;0,48;0,95;;0,07;142,00;;;;-0,01;-0,93;0,12;0,00;1,00;0,00;0,00;0,16;0,00;0,00;0,00;0,44;0,17;1203,23;0,00;5,00;0,30;0,00
11;COM;Comoros;0,00;6,25;;;1,00;0,00;;;;;;;;;;;0,03;;;;;;;0,36;;;;;;;;;4,56;4,28;11,67;;;;;;;;;;;;;0,00;1,00;0,00;0,00;0,14;0,00;0,00;0,00;0,86;0,00;;0,08;5,00;0,00;0,00
12;COG;Congo;0,02;6,97;47,30;0,78;1,00;0,00;0,05;4,48;14,52;21,38;6,00;9,60;1,00;342,00;0,20;0,04;0,03;;0,62;0,11;;0,04;0,00;0,00;0,04;0,24;0,03;0,03;0,19;0,36;0,39;0,00;6,56;6,17;3,68;0,66;0,46;0,71;0,33;0,29;191,00;0,05;0,24;;0,00;-0,77;0,21;0,00;1,00;0,00;0,00;0,25;0,00;0,00;0,00;0,02;0,25;455,57;0,17;1,00;0,00;0,00
13;EGY;Egypt;0,03;6,65;46,40;0,66;0,00;0,00;0,75;41,38;19,13;12,75;8,27;7,01;1,00;1001,00;0,18;0,02;0,02;;;0,03;;0,16;0,05;0,00;0,01;0,15;0,05;0,06;0,01;0,16;0,10;1,00;5,11;4,56;30,00;0,04;0,39;0,73;0,17;0,38;168,00;;;;0,00;-1,24;0,37;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,94;0,00;7532,93;0,03;1,00;0,97;0,00
14;ETH;Ethiopia;0,00;5,52;42,20;0,07;1,00;0,00;0,16;70,02;15,66;9,27;2,66;3,47;0,00;1222,00;0,15;0,03;0,02;;;;;;0,00;0,00;0,01;0,11;0,01;0,02;0,00;0,72;0,00;1,00;6,67;6,61;9,01;0,69;0,13;0,98;0,50;0,06;98,00;0,01;0,05;;0,00;-0,67;0,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,42;0,00;12378,53;0,00;0,00;0,00;0,00
15;GAB;Gabon;0,02;7,49;40,90;1,00;1,00;0,00;;1,48;20,91;28,41;9,00;14,60;0,00;268,00;;;0,03;;;;;0,05;0,00;0,00;0,13;0,04;0,02;0,01;0,00;0,12;0,00;0,00;6,00;6,00;0,37;0,69;0,45;0,91;0,33;0,17;169,00;;;;0,01;-0,05;0,17;0,00;1,00;0,00;0,00;0,32;0,00;0,00;0,00;0,00;0,33;463,69;0,22;5,00;0,06;0,00
16;GMB;Gambia;0,01;6,20;32,30;0,12;1,00;0,00;;;20,70;36,71;8,15;9,72;0,00;11,00;;;0,03;;0,21;0,01;;0,03;0,00;0,22;0,01;;0,02;;0,00;0,05;0,00;0,00;2,44;2,72;13,26;0,73;;1,00;0,67;0,12;150,00;;;;0,00;-0,64;;1,00;0,00;0,00;0,00;0,04;0,00;0,00;0,00;0,90;0,05;186,42;0,00;5,00;0,00;0,00
17;GHA;Ghana;0,00;6,77;45,20;0,38;1,00;0,00;0,35;588,63;23,70;63,80;28,82;27,58;0,00;239,00;0,20;0,06;0,03;0,56;0,11;0,03;0,69;0,05;0,00;0,22;0,02;0,08;0,03;0,02;0,00;0,55;0,20;0,00;5,89;5,00;6,69;0,71;0,24;0,99;0,17;0,23;248,00;0,00;0,09;4,67;-0,08;-0,83;0,20;1,00;0,00;0,00;0,00;0,12;0,00;0,00;0,00;0,30;0,12;2941,27;0,02;3,00;0,00;0,00
18;GIN;Guinea;;5,96;;;1,00;0,00;;;;;;;;36,00;0,27;0,01;0,02;;;;;;0,00;0,20;;;;0,03;0,00;0,16;0,10;;7,00;6,50;11,67;0,75;0,37;;0,50;0,10;;0,01;0,10;;;-0,71;;0,00;1,00;0,00;0,00;0,04;0,00;0,00;0,00;0,85;0,04;1538,52;0,08;5,00;0,00;0,00
19;GNB;Guinea-Bissau;0,01;6,18;34,80;0,25;1,00;0,00;;;;;27,90;31,13;0,00;;;;0,02;;0,02;0,01;;0,03;0,00;0,18;;;;;;0,31;;0,00;6,11;6,17;12,26;;;0,99;0,17;;190,00;;;;;;;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,30;0,03;;0,00;1,00;0,00;0,00
20;CIV;Cote d'Ivoire;0,00;6,88;39,50;;1,00;0,00;0,05;4,48;16,08;14,44;6,02;9,69;1,00;322,00;;;0,04;;;;;;;0,00;0,03;0,06;0,04;0,01;0,00;0,00;0,00;0,00;5,83;5,22;5,50;0,86;0,46;0,94;0,50;0,19;185,00;0,02;0,10;;-0,02;-0,62;;0,00;1,00;0,00;0,00;0,06;0,00;0,00;0,00;0,25;0,06;2052,22;0,03;5,00;0,00;0,00
21;KEN;Kenya;0,01;6,46;45,00;0,47;1,00;0,00;0,01;12,45;20,18;10,52;6,92;6,54;1,00;580,00;0,17;0,04;0,04;1,04;0,11;0,01;1,16;0,02;0,00;0,04;0,04;0,13;0,04;0,00;0,03;0,05;0,01;0,00;5,33;4,83;0,51;0,83;0,58;0,87;0,33;0,07;131,00;0,03;0,15;7,51;-0,02;-0,81;;1,00;0,00;0,00;0,00;0,28;0,00;0,00;0,00;0,06;0,38;3712,74;0,00;5,00;0,00;0,00
22;LSO;Lesotho;0,04;5,66;47,70;0,83;1,00;0,00;0,07;7,63;;;8,84;8,75;0,00;30,00;;;0,02;2,42;0,05;0,00;2,48;0,03;0,00;0,37;0,03;;0,05;;0,00;0,05;0,00;0,00;5,22;4,72;29,59;0,22;;0,93;;0,01;126,00;;;14,04;;-0,61;;1,00;0,00;0,00;0,00;0,40;0,00;0,00;0,00;0,00;0,40;472,58;0,00;5,00;0,00;0,00
23;LBR;Liberia;-0,01;6,55;41,50;0,31;1,00;0,00;0,00;10,53;;;4,19;6,37;1,00;111,00;;;0,03;0,40;0,13;0,04;0,56;0,02;0,00;0,01;0,03;0,16;0,01;0,01;0,00;0,23;0,00;1,00;5,72;4,78;6,39;0,83;0,46;0,97;0,17;0,20;169,00;;;3,68;-0,12;-0,87;;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00;0,20;0,05;435,34;0,10;5,00;0,00;0,03
24;MDG;Madagascar;-0,02;7,06;41,00;0,52;1,00;0,00;0,05;4,80;18,36;13,19;10,32;8,26;0,00;587,00;0,15;0,03;0,03;;;;;0,04;0,00;0,00;0,03;0,06;0,02;0,01;;0,10;;0,00;5,22;5,06;18,96;0,06;0,83;0,93;0,67;0,11;120,00;0,01;0,06;;-0,04;-0,67;;0,00;1,00;0,00;0,00;0,20;0,00;0,00;0,00;0,07;0,21;2715,02;0,08;1,00;0,00;0,00
25;MWI;Malawi;0,01;5,91;37,90;0,67;1,00;0,00;0,09;32,64;22,98;25,75;8,07;6,73;1,00;118,00;0,19;0,02;0,03;1,60;0,01;0,00;1,62;0,01;0,00;0,00;0,04;0,15;0,01;0,00;0,00;0,00;0,00;0,00;6,39;6,56;15,81;0,62;0,58;0,96;0,17;0,04;116,00;0,02;0,11;9,54;-0,04;-0,70;;1,00;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,20;0,55;1756,03;0,09;5,00;0,00;0,00
26;MLI;Mali;0,00;6,20;35,90;0,10;1,00;0,00;;;13,05;15,69;7,15;5,87;0,00;1240,00;;;0,02;;0,01;0,01;;0,01;0,00;0,16;0,01;0,11;;0,03;0,00;0,24;0,10;0,00;6,89;6,22;12,51;0,78;0,37;0,89;0,33;0,11;127,00;0,04;0,03;;0,02;-0,93;;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,90;0,01;1726,38;0,01;1,00;0,01;0,00
27;MRT;Mauritania;0,00;6,75;35,30;0,08;1,00;0,00;0,05;43,36;134,73;589,80;6,92;5,11;1,00;1026,00;;;0,02;;;;;;0,00;0,00;0,03;0,18;0,02;0,03;0,00;0,20;0,00;1,00;6,33;6,00;17,92;0,33;0,59;0,99;;0,03;198,00;;;;0,00;-1,00;;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;365,88;0,07;3,00;0,87;0,00
28;MUS;Mauritius;0,02;7,94;59,40;0,98;1,00;0,00;;;20,51;21,33;9,10;11,72;0,00;2,00;0,30;0,09;0,02;2,12;0,28;0,04;2,44;0,24;0,00;1,00;0,03;0,09;0,02;0,00;0,00;0,00;0,00;0,00;2,17;2,39;20,23;0,58;;0,98;;0,33;126,00;0,01;0,16;19,36;-0,03;-1,21;0,30;1,00;0,00;0,00;0,00;0,26;0,00;0,52;0,00;0,17;0,02;196,02;0,00;5,00;0,56;0,00
29;MAR;Morocco;0,03;6,67;46,90;0,47;0,00;0,00;0,18;9,05;15,15;7,64;5,82;5,22;0,00;447,00;0,25;0,06;0,03;;;;;0,05;0,00;0,44;0,02;0,04;0,03;0,03;0,00;0,08;0,00;1,00;4,17;4,61;33,59;0,53;0,32;0,90;0,17;0,29;123,00;0,01;0,07;;0,00;-1,27;0,31;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,99;0,01;3265,74;0,03;3,00;0,74;0,00
30;MOZ;Mozambique;-0,02;7,03;35,20;0,48;1,00;0,00;0,00;304,42;;;;;0,00;802,00;0,13;0,01;0,02;0,39;0,01;0,00;0,40;0,02;0,00;0,00;;;;;;1,00;;1,00;6,50;6,72;18,50;0,65;0,12;;0,50;0,04;127,00;0,00;0,06;2,83;-0,01;-0,64;;0,00;0,00;0,00;0,00;0,15;0,00;0,00;0,00;0,10;0,15;3914,79;0,08;1,00;0,01;0,00
31;NER;Niger;0,00;6,22;35,40;0,05;1,00;0,00;0,05;4,49;18,90;37,86;5,32;8,78;1,00;1267,00;;;0,03;0,76;0,08;0,01;0,85;0,00;0,00;0,00;0,03;0,16;0,00;0,01;0,00;0,16;0,00;0,00;6,89;6,00;13,88;0,73;0,16;0,96;0,67;0,06;204,00;;;5,26;0,03;-0,53;;0,00;1,00;0,00;0,00;0,05;0,00;0,00;0,00;0,80;0,05;1789,55;0,08;5,00;0,04;0,00
32;NGA;Nigeria;0,01;6,32;39,70;0,36;1,00;0,00;0,09;45,18;1,10;152,56;12,98;15,14;1,00;924,00;0,18;0,06;0,03;;;;;0,04;0,00;0,00;0,02;0,11;0,01;0,01;0,00;0,52;0,50;1,00;4,89;4,06;6,54;0,87;0,50;0,99;0,17;0,13;277,00;0,02;0,10;;-0,01;-1,04;0,13;1,00;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,50;0,20;14920,97;0,21;4,00;0,00;0,00
33;RWA;Rwanda;0,01;6,24;46,50;0,49;1,00;0,00;0,00;32,25;21,54;24,69;10,07;16,66;0,00;26,00;0,24;0,06;0,03;;0,13;0,02;;0,02;0,00;0,00;0,00;0,14;0,03;0,03;0,00;0,14;0,00;0,00;6,33;5,67;2,03;0,14;0,30;0,99;;0,02;165,00;0,01;0,07;;0,04;-0,58;;0,00;0,00;0,00;0,00;0,65;0,00;0,00;0,00;0,01;0,09;1531,96;0,00;1,00;0,00;0,00
34;SEN;Senegal;0,00;6,92;39,60;0,27;1,00;0,00;0,05;4,49;13,09;13,97;5,71;4,50;0,00;197,00;0,24;0,04;0,03;1,40;0,13;0,02;1,54;0,03;0,00;0,00;0,02;0,18;0,02;0,01;0,10;0,04;0,15;0,00;4,33;4,00;14,77;0,72;0,54;0,81;0,17;0,23;146,00;0,01;0,08;10,70;0,00;-0,87;;0,00;1,00;0,00;0,00;0,02;0,00;0,00;0,00;0,92;0,00;1340,77;0,00;4,00;0,00;0,00
35;SYC;Seychelles;0,03;7,14;;;1,00;0,00;;;;;;;;;;;;2,82;0,26;0,03;3,11;;;0,07;;;;;;0,57;;;4,92;4,56;4,66;;;1,00;;;;;;22,18;;;;1,00;0,00;0,00;0,00;0,90;0,00;0,00;0,00;0,00;0,08;;0,00;1,00;0,02;0,03
36;SLE;Sierra Leone;0,01;;31,50;0,23;1,00;0,00;;;29,06;19,90;23,97;33,41;1,00;72,00;0,23;0,03;0,02;0,38;0,14;0,01;0,53;0,02;0,00;0,00;0,00;0,26;0,02;0,01;0,00;0,38;0,50;0,00;5,22;5,00;8,70;0,77;0,75;0,37;0,67;0,13;201,00;0,01;0,10;;-0,01;-0,77;;1,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00;0,30;0,05;1039,38;0,06;5,00;0,00;0,00
37;SOM;Somalia;0,00;6,92;36,10;0,09;1,00;0,00;;;34,33;38,10;23,31;29,13;0,00;638,00;0,18;0,03;0,03;;;;;0,01;0,00;0,00;0,01;;0,01;;0,06;0,28;0,13;1,00;7,00;6,78;10,63;0,08;0,77;0,94;0,50;0,17;176,00;0,00;0,14;;0,03;-0,88;0,07;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1215,68;0,00;1,00;0,00;0,00
38;ZAF;South africa;0,01;7,65;49,20;0,89;1,00;0,00;0,07;12,00;16,64;11,77;9,79;6,40;1,00;1221,00;;;0,02;3,22;0,85;0,00;4,06;0,15;0,03;0,09;0,11;0,12;;0,02;0,01;0,04;0,00;1,00;4,78;5,67;29,13;0,88;0,59;0,53;0,67;0,47;72,00;;;31,10;0,00;-1,04;0,54;1,00;0,00;0,00;0,00;0,33;0,00;0,02;0,00;0,20;0,34;6123,39;0,11;3,00;0,00;0,09
39;SDN;Sudan;0,00;;38,80;0,25;1,00;0,00;0,33;36,93;47,33;113,36;17,48;14,38;0,00;2506,00;0,15;0,04;0,03;0,24;0,03;0,00;0,27;0,03;0,00;0,15;0,00;;0,02;0,02;0,00;0,68;0,30;1,00;5,39;5,56;14,04;0,73;0,38;1,00;0,17;0,10;163,00;;;;-0,01;-1,04;0,15;1,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,70;0,03;3928,96;0,00;4,00;0,52;0,00
40;SWZ;Swaziland;0,02;7,10;40,40;0,58;1,00;0,00;;;;;8,79;5,81;0,00;17,00;;;0,03;1,50;0,14;0,02;1,66;0,05;0,00;0,35;;;0,02;;0,00;0,05;0,00;0,00;5,33;4,83;26,55;;;;;0,04;140,00;;;11,80;;-0,61;;1,00;0,00;0,00;0,00;0,30;0,00;0,00;0,00;0,00;0,30;177,90;0,01;5,00;0,00;0,00
41;TZA;Tanzania;0,02;5,74;40,60;0,25;1,00;0,00;0,01;83,98;27,69;17,51;13,36;11,00;0,00;945,00;0,15;0,02;0,03;0,93;0,27;0,13;1,34;0,02;0,00;0,00;0,08;0,18;0,03;0,02;0,00;0,05;0,00;1,00;6,00;6,00;2,15;0,93;0,63;0,87;0,50;0,05;216,00;0,01;0,17;7,68;0,00;-0,60;;1,00;0,00;0,00;0,00;0,16;0,00;0,00;0,00;0,35;0,16;5520,32;0,00;0,00;0,00;0,00
42;TGO;Togo;0,01;5,89;39,50;0,44;1,00;0,00;0,05;4,49;18,67;29,79;5,22;9,85;1,00;57,00;;;0,03;0,17;0,04;0,00;0,21;0,02;0,00;0,00;0,07;0,13;0,02;0,01;0,11;0,16;0,15;0,00;6,67;5,94;6,19;0,71;0,46;0,94;0,33;0,10;141,00;;;1,22;-0,03;-0,77;;0,00;1,00;0,00;0,00;0,10;0,00;0,00;0,00;0,10;0,10;702,34;0,09;1,00;0,00;0,00
43;TUN;Tunisia;0,03;6,98;48,60;0,66;0,00;0,00;0,85;39,59;16,19;8,46;6,92;5,15;0,00;164,00;0,31;0,06;0,02;0,29;0,13;0,03;0,45;0,12;0,01;0,13;0,06;0,12;0,04;0,02;0,00;0,00;0,00;0,00;5,61;4,89;36,82;0,16;0,64;0,81;0,50;0,36;104,00;0,03;0,11;3,11;0,01;-1,27;0,30;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,01;0,98;0,01;1181,04;0,08;4,00;0,99;0,00
44;UGA;Uganda;-0,01;6,52;43,20;0,49;1,00;0,00;0,01;319,51;41,92;34,66;47,13;56,41;1,00;236,00;0,20;0,02;0,03;1,04;0,11;0,00;1,15;0,03;0,00;0,16;0,01;0,16;0,02;0,00;0,04;0,43;0,02;1,00;5,78;5,61;0,23;0,90;0,69;1,00;0,17;0,05;155,00;0,00;0,04;7,50;-0,03;-0,70;;1,00;0,00;0,00;0,00;0,33;0,00;0,00;0,00;0,16;0,33;3250,16;0,00;3,00;0,00;0,00
