index;code;country;gamma;GDPSH60;LIFEE060;P60; safrica ; laam; bmp1 ; BMS6087; GDC6089; STDC6089; PI6089; STPI6089; SCOUT; area ; freeop; freetar; dpop6090; pyr60; syr60; hyr60; human60; s60; h60 ; YrsOpen; ggcfd3; gvxdxe52; geerec1; gde1; assassp2; revcoup; pinstab2; wardum; prightsb; civlibb; ABSLATIT; FRAC; DEMOC65; PRIEXP70; RULELAW; URB60; RERD; EQINV; NONEQINV; humanyl ; tot1; work60l; lly1; BRIT; FRENCH; SPAIN; BUDDHA; CATH; CONFUC; HINDU; JEW; MUSLIM; PROT; lforce60; Mining; EcOrg; OthFrac; EngFrac
67;ARG;Argentina;0,01;8,10;65,20;0,98;0,00;1,00;0,16;66,85;;144,99;304,01;860,97;0,00;2767,00;0,11;0,03;0,02;4,29;0,60;0,10;4,99;0,23;0,11;0,09;0,05;0,06;0,02;0,02;0,02;0,96;0,11;1,00;3,94;3,56;36,68;0,31;0,53;0,86;0,33;0,74;113,00;0,02;0,12;40,38;0,01;-0,93;;0,00;0,00;1,00;0,00;0,90;0,00;0,00;0,02;0,00;0,02;8110,33;0,02;5,00;0,84;0,00
68;BOL;Bolivia;0,01;7,01;42,80;0,64;0,00;1,00;0,03;236,07;81,76;208,22;473,78;2130,70;0,00;1099,00;0,17;0,02;0,03;2,02;0,98;0,10;3,09;0,12;0,04;0,73;0,05;0,11;0,02;0,02;0,05;1,19;0,33;0,00;4,11;3,67;15,19;0,68;0,36;0,97;0,17;;181,00;0,01;0,12;21,64;0,09;-1,06;;0,00;0,00;1,00;0,00;0,95;0,00;0,00;0,00;0,00;0,03;1184,03;0,08;3,00;0,37;0,00
69;BRA;Brazil;0,02;7,46;54,90;0,95;0,00;1,00;0,24;15,58;76,26;61,53;138,02;259,97;0,00;8512,00;0,08;0,01;0,02;1,87;0,70;0,07;2,64;0,11;0,02;0,09;0,06;0,07;0,00;0,02;0,00;0,12;0,00;0,00;3,39;3,39;19,56;0,07;0,61;0,86;0,67;0,46;97,00;0,06;0,16;19,72;0,01;-1,13;;0,00;0,00;0,00;0,00;0,90;0,00;0,00;0,00;0,00;0,00;23338,97;0,02;3,00;1,00;0,00
70;CHL;Chile;0,01;7,97;57,30;1,00;0,00;1,00;0,54;331,36;;;87,62;153,20;0,00;757,00;0,14;0,03;0,02;3,80;1,13;0,07;5,00;0,24;0,04;0,42;0,06;0,13;0,03;0,02;0,00;0,20;0,10;1,00;5,78;4,67;33,55;0,14;0,97;0,96;0,83;0,68;100,00;0,02;0,13;39,83;0,02;-1,12;0,03;0,00;0,00;1,00;0,00;0,89;0,00;0,00;0,00;0,00;0,11;2480,64;0,16;5,00;0,93;0,00
71;COL;Colombia;0,02;7,41;53,20;0,77;0,00;1,00;0,18;14,66;25,33;11,79;18,92;7,45;0,00;1139,00;0,16;0,04;0,02;2,02;0,62;0,04;2,68;0,12;0,02;0,09;0,05;0,05;0,02;0,02;0,00;0,00;0,00;1,00;2,11;2,89;4,79;0,06;0,71;0,92;0,33;0,48;81,00;0,02;0,16;19,84;0,00;-1,20;0,21;0,00;0,00;1,00;0,00;0,95;0,00;0,00;0,00;0,00;0,00;4823,14;0,06;3,00;0,98;0,00
72;ECU;Ecuador;0,02;7,27;53,40;0,83;0,00;1,00;0,20;24,05;24,70;19,33;18,29;14,53;1,00;284,00;0,19;0,05;0,03;2,53;0,38;0,05;2,95;0,12;0,03;0,84;0,08;0,11;0,02;0,02;0,00;0,56;0,10;0,00;3,72;3,11;2,06;0,53;0,45;0,98;0,67;0,34;113,00;0,03;0,22;21,45;-0,02;-1,15;0,16;0,00;0,00;1,00;0,00;0,95;0,00;0,00;0,00;0,00;0,00;1397,16;0,10;3,00;0,71;0,00
73;GUY;Guyana;0,00;7,33;60,20;1,00;0,00;1,00;;;;;11,94;18,59;0,00;215,00;0,22;0,02;0,01;4,10;0,40;0,01;4,51;0,33;0,00;0,16;0,12;0,20;0,03;0,03;0,00;0,00;0,00;0,00;4,28;3,89;5,76;0,58;0,53;0,97;0,00;0,26;117,00;;;33,11;0,01;-1,20;0,23;1,00;0,00;0,00;0,00;0,28;0,00;0,33;0,00;0,09;0,29;171,33;0,09;1,00;0,00;0,82
74;PRY;Paraguay;0,02;7,10;63,90;0,98;0,00;1,00;0,10;45,92;18,32;10,29;12,98;10,43;0,00;407,00;0,20;0,08;0,03;2,95;0,36;0,04;3,35;0,11;0,02;0,13;0,01;0,10;0,01;0,02;0,00;0,08;0,00;0,00;4,94;5,22;25,58;0,14;0,45;0,91;0,17;0,36;141,00;0,01;0,11;23,79;0,03;-1,14;0,09;0,00;0,00;1,00;0,00;0,90;0,00;0,00;0,00;0,00;0,05;568,57;0,00;3,00;0,04;0,00
75;PER;Peru;0,00;7,57;48,00;0,83;0,00;1,00;0,02;33,23;58,30;99,69;178,32;634,82;0,00;1285,00;0,14;0,05;0,03;2,42;0,49;0,09;3,00;0,15;0,04;0,49;0,04;0,06;0,02;0,03;0,00;0,28;0,10;1,00;3,78;3,78;11,79;0,59;0,87;0,99;0,33;0,46;83,00;0,02;0,10;22,71;0,02;-1,14;0,21;0,00;0,00;1,00;0,00;0,95;0,00;0,00;0,00;0,00;0,00;3176,93;0,02;3,00;0,56;0,00
76;SUR;Suriname;0,00;7,65;;1,00;0,00;1,00;;;;;9,03;7,14;0,00;163,00;;;0,01;;;;;0,28;;0,17;;;0,05;;;0,57;;0,00;4,06;3,61;5,61;;;0,94;0,17;0,47;126,00;;;;-0,01;-1,28;;0,00;0,00;0,00;0,00;0,23;0,00;0,27;0,00;0,20;0,25;81,00;0,03;3,00;0,01;0,00
77;URY;Uruguay;0,01;8,26;67,30;1,00;0,00;1,00;0,02;27,94;60,68;29,51;54,59;27,32;0,00;177,00;0,20;0,04;0,01;3,57;0,69;0,02;4,28;0,37;0,08;0,11;0,02;0,06;0,02;0,01;0,07;0,00;0,04;0,00;4,22;4,17;34,82;0,20;1,00;0,80;0,50;0,80;92,00;0,01;0,10;35,31;0,01;-0,90;0,28;0,00;0,00;1,00;0,00;0,66;0,00;0,00;0,02;0,00;0,02;1028,91;0,00;3,00;1,00;0,00
78;VEN;Venezuela;0,00;8,73;59,80;1,00;0,00;1,00;0,30;48,90;24,59;46,07;12,96;18,85;1,00;912,00;0,19;0,03;0,03;2,20;0,28;0,05;2,53;0,21;0,04;0,31;0,04;0,02;0,02;0,02;0,00;0,32;0,10;0,00;1,22;2,06;9,84;0,11;0,73;0,99;0,50;0,67;109,00;0,04;0,08;22,08;-0,02;-1,15;0,19;0,00;0,00;1,00;0,00;0,96;0,00;0,00;0,00;0,00;0,02;2387,14;0,11;3,00;0,97;0,00
